Epoch,Node_Train_Loss,Net_Train_Loss,Node_Valid_Loss,Net_Valid_Loss,Time
1,0.6744955122470856,0.7006728410720825,0.5329424738883972,0.6919469833374023,28.67
2,0.6834910571575165,0.7077435672283172,0.5470374822616577,0.7177190780639648,81.38
3,0.6668779134750367,0.7271773040294647,0.5834686756134033,0.7209566831588745,116.7
4,0.6722624957561493,0.7124370336532593,0.5420682430267334,0.6996142864227295,146.37
5,0.6663231313228607,0.7093857884407043,0.5736051201820374,0.7118657827377319,174.13
6,0.6683213949203491,0.7122871339321136,0.5544397830963135,0.7103801965713501,203.91
7,0.6658847391605377,0.7158686280250549,0.5973076224327087,0.7177646160125732,232.53
8,0.6648246467113494,0.719767814874649,0.5639588832855225,0.7157570123672485,265.84
9,0.6686261475086213,0.7127110004425049,0.5533732771873474,0.7159905433654785,298.24
10,0.6631371140480041,0.7238887488842011,0.5712419152259827,0.7282320261001587,329.22
11,0.664567619562149,0.7306049287319183,0.5646314024925232,0.7226929068565369,360.43
12,0.6652624189853669,0.7287829518318176,0.5684289932250977,0.7210729122161865,389.9
13,0.6695830881595611,0.723527604341507,0.5430243611335754,0.7125102281570435,418.82
14,0.6659561038017273,0.7179387509822845,0.5723527669906616,0.7082255482673645,450.76
15,0.6647209823131561,0.7184781074523926,0.5635273456573486,0.7112321257591248,482.71
16,0.6621744453907012,0.7133280992507934,0.5697194337844849,0.7007511854171753,514.83
17,0.662234777212143,0.7123513698577881,0.5572099089622498,0.709862470626831,546.56
18,0.6616381168365478,0.7192285239696503,0.5553382039070129,0.7164403796195984,587.72
19,0.6629402577877045,0.7226009249687195,0.5480684638023376,0.7179297208786011,620.84
20,0.6621187031269073,0.726498544216156,0.5754795670509338,0.720730185508728,650.73
21,0.6618521869182586,0.7238500118255615,0.5691205263137817,0.7129755616188049,682.2
22,0.661408668756485,0.7164608299732208,0.5497359037399292,0.712958037853241,716.23
23,0.659182608127594,0.7156393349170684,0.5861700177192688,0.7091099619865417,756.1
24,0.6587944209575654,0.7154005825519562,0.560596764087677,0.7115082740783691,787.4
25,0.6584205687046051,0.7171576917171478,0.5569307804107666,0.7189769744873047,816.31
26,0.658021765947342,0.7142212808132171,0.5659646987915039,0.7159608006477356,849.28
27,0.6585404872894287,0.7114615559577941,0.5546154379844666,0.7177937030792236,878.56
28,0.6596033155918122,0.7091703057289124,0.5505300164222717,0.7132347226142883,909.08
29,0.6581451773643494,0.7058499753475189,0.5630767345428467,0.7086331248283386,939.96
30,0.6593171715736389,0.7051803648471833,0.6009193062782288,0.7047591805458069,971.47
31,0.6611470103263855,0.7027587950229645,0.5555163025856018,0.703636884689331,1009.45
32,0.6639470219612121,0.7006565451622009,0.5786798596382141,0.7025007605552673,1040.76
33,0.6600203931331634,0.7031058192253112,0.5674647688865662,0.7002202272415161,1070.23
34,0.6560804128646851,0.701811921596527,0.5687568783760071,0.7004756927490234,1111.53
35,0.6561757624149323,0.7017439246177674,0.5775994062423706,0.7057347893714905,1142.37
36,0.6574851870536804,0.7039574563503266,0.5812990069389343,0.7029245495796204,1171.18
37,0.6604365468025207,0.7025614321231842,0.5568883419036865,0.7045158743858337,1201.42
38,0.6578646421432495,0.7022737264633179,0.5741352438926697,0.707075297832489,1231.46
39,0.6563806056976318,0.7061634659767151,0.592181921005249,0.7126398682594299,1269.68
40,0.6568641304969788,0.7114956557750702,0.5590381622314453,0.7206596732139587,1298.62
41,0.6541248261928558,0.7135304987430573,0.5802038311958313,0.7177800536155701,1329.68
42,0.6624741375446319,0.7178427875041962,0.565256655216217,0.7164630889892578,1362.37
43,0.6556849777698517,0.7151186168193817,0.6038060784339905,0.7220062613487244,1394.69
44,0.6567155182361603,0.7179205119609833,0.5490802526473999,0.7308117747306824,1426.68
45,0.6531815350055694,0.7131628692150116,0.5634906888008118,0.7211105823516846,1465.05
46,0.6511086046695709,0.709990507364273,0.5748958587646484,0.7238091230392456,1495.33
47,0.6502864241600037,0.7126122057437897,0.5755041241645813,0.7255105376243591,1527.56
48,0.6501755356788635,0.7135802328586578,0.5725038647651672,0.7194100618362427,1556.12
49,0.6541289806365966,0.7117489516735077,0.5769446492195129,0.7203693985939026,1584.79
50,0.654236912727356,0.7106619477272034,0.5653032660484314,0.7210860252380371,1617.06
