Epoch,tp,fp,tn,fn,p,r,fsc,m,Time
62,480279,420833,77,65,0.5329848010014293,0.9998646803124428,0.695322905687912,0.9998424417533792,1961.02
63,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1991.94
64,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2022.92
65,480344,420908,2,0,0.5329741293223205,1.0,0.6953465412465004,0.9999977808697659,2054.92
66,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2085.43
67,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2117.13
68,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2147.63
69,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2178.48
70,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2209.45
71,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2242.62
72,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2272.85
73,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2304.22
74,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2335.37
75,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2366.82
76,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2398.27
77,480151,420715,195,193,0.5329882579651136,0.9995982046200224,0.6952614012351489,0.9995694887345854,2429.74
78,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2460.51
79,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2491.85
80,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2522.42
81,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2553.56
82,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2584.89
83,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2616.23
84,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2647.78
85,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2678.48
86,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2709.31
87,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2740.62
88,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2775.61
89,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2806.21
90,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2837.23
91,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2868.76
92,480342,420910,0,2,0.5329719101871618,0.9999958363173059,0.6953436460441402,0.9999977808697659,2899.88
93,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2930.69
94,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2961.82
95,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2992.29
96,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3023.4
97,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3054.27
98,479935,420518,392,409,0.532992838049293,0.9991485268890629,0.695156492952983,0.9991112383412445,3084.58
99,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3115.2
100,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3146.06
