Epoch,Node_Train_Loss,Net_Train_Loss,Node_Valid_Loss,Net_Valid_Loss,Time
1,1.002521628141403,1.0010176658630372,1.0034765899181366,1.003853440284729,45.04
2,0.999518609046936,0.9955830097198486,1.0013941526412964,1.001767098903656,90.52
3,0.9977758407592774,0.9935356259346009,0.999197244644165,1.0051388144493103,134.15
4,0.9968242585659027,0.9897758364677429,1.0001055896282196,1.0085167288780212,177.21
5,0.9961714684963227,0.9873495757579803,1.005698561668396,1.0140388011932373,225.34
6,0.9948048889636993,0.9851869285106659,1.0026816725730896,1.006116807460785,272.72
7,0.9961911797523498,0.9824447154998779,1.0106784105300903,1.0148550868034363,317.31
8,0.9932062089443207,0.9807720959186554,1.0073963403701782,1.0192033052444458,360.48
9,0.9922284424304962,0.9790109992027283,1.0141904950141907,1.0231949090957642,403.36
10,0.9914465010166168,0.9765778183937073,1.0187350511550903,1.0295072197914124,446.39
11,0.9901951134204865,0.9756158411502838,1.0153741240501404,1.0342310667037964,495.65
12,0.9905864596366882,0.9742376327514648,1.036629855632782,1.0336924195289612,543.19
13,0.989331328868866,0.9733604848384857,1.0214843153953552,1.02510005235672,586.78
14,0.9861426413059234,0.9727717995643616,1.0217443704605103,1.0295855402946472,631.61
15,0.9866731703281403,0.9662985384464264,1.0364176630973816,1.051487386226654,676.17
16,0.9836417138576508,0.9653161287307739,1.0192295908927917,1.0578356981277466,727.21
17,0.9845364809036254,0.9640454888343811,1.029091715812683,1.0479341745376587,775.25
18,0.9843981444835663,0.9572508335113525,1.0267041325569153,1.0449435710906982,825.9
19,0.9826654732227326,0.9492399513721466,1.0268892049789429,1.0686063766479492,867.34
20,0.9797174513339997,0.9468789100646973,1.0260452032089233,1.0396303534507751,910.19
21,0.9763198971748352,0.937085485458374,1.0278351306915283,1.0240899920463562,953.05
22,0.9760341584682465,0.9124349176883697,1.0422348380088806,1.0224354267120361,997.86
23,0.9734893262386322,0.906590747833252,1.03093820810318,1.0037764012813568,1042.97
24,0.9839537084102631,0.9029181182384491,1.048154354095459,0.991133064031601,1084.16
25,0.9774864017963409,0.8927162706851959,1.023306131362915,1.0164807438850403,1131.6
26,0.9774272620677948,0.8897796869277954,1.0328086018562317,0.9858940243721008,1173.47
27,0.9697306454181671,0.8869591057300568,1.0439388751983643,0.9906021654605865,1216.41
28,0.9655281484127045,0.8846897184848785,1.0478352308273315,1.0135217308998108,1262.46
29,0.9645249605178833,0.8876014471054077,1.0585339665412903,0.9986723363399506,1308.13
30,0.9645751893520356,0.8815678119659424,1.042950689792633,0.9950781762599945,1352.01
31,0.9684879124164582,0.877720195055008,1.046550452709198,0.9970420897006989,1395.92
32,0.9682406961917878,0.8752429842948913,1.0607777833938599,1.023877203464508,1439.98
33,0.9604393482208252,0.87689408659935,1.0585602521896362,1.00912144780159,1488.99
34,0.9612520277500153,0.8719855725765229,1.0398229956626892,0.97574782371521,1530.41
35,0.9641623735427857,0.8738767027854919,1.0590455532073975,0.9884737432003021,1571.63
36,0.9565254271030426,0.8714506030082703,1.0502416491508484,0.9890569150447845,1619.55
37,0.9550329923629761,0.8653426170349121,1.0973514914512634,0.9984720349311829,1663.15
38,0.9538462996482849,0.8670185029506683,1.0464763641357422,1.0067296624183655,1704.43
39,0.953442120552063,0.8614638566970825,1.082441806793213,0.9670316576957703,1746.87
40,0.956255978345871,0.8614276289939881,1.050532579421997,0.9959920346736908,1790.85
41,0.9498756527900696,0.8579918324947358,1.0899019837379456,0.9848109185695648,1832.31
42,0.9503405153751373,0.857404226064682,1.05430406332016,1.003438115119934,1876.52
43,0.9519710063934326,0.8572181046009064,1.064650535583496,0.9882708489894867,1919.36
44,0.9527592182159423,0.8526586830615998,1.054691195487976,0.9848189353942871,1964.83
45,0.9572738409042358,0.8561253130435944,1.0640379786491394,0.9887336194515228,2008.99
46,0.967839103937149,0.8612426936626434,1.1001592874526978,0.9852025210857391,2054.37
47,0.9619877874851227,0.853365683555603,1.0844798684120178,1.02370947599411,2096.53
48,0.9513460040092468,0.8552712440490723,1.0848517417907715,0.9870967268943787,2139.03
49,0.9473344504833221,0.8549395442008972,1.0738118886947632,1.0048275589942932,2181.47
50,0.948715192079544,0.8563480973243713,1.0744990110397339,1.0299968719482422,2226.13
