Epoch,Node_Train_Loss,Net_Train_Loss,Node_Valid_Loss,Net_Valid_Loss,Time
1,371.91946029663086,760.778109741211,310.23336029052734,1681.0062866210938,60.62
2,345.36527786254885,760.7416748046875,286.86458587646484,1678.1905517578125,125.46
3,318.89171142578124,758.2659454345703,261.994140625,1675.2409973144531,196.87
4,289.9375648498535,757.0407318115234,236.03660583496094,1674.7793579101562,264.84
5,259.2076751708984,756.7527862548828,209.28939056396484,1675.14794921875,331.75
6,227.91671142578124,757.7088928222656,184.2070655822754,1676.0328674316406,400.99
7,199.7931121826172,757.3631744384766,163.8146209716797,1674.8218994140625,465.98
8,178.51178741455078,756.7929046630859,151.36417770385742,1674.6652526855469,532.84
