Epoch,Node_Train_Loss,Net_Train_Loss,Node_Valid_Loss,Net_Valid_Loss,Time
1,1.0075631856918335,1.01961350440979,1.0012302994728088,1.00264173746109,167.85
2,0.9992248952388764,0.9980932474136353,1.001298427581787,1.0032078623771667,241.09
3,0.9968039333820343,0.9946412920951844,0.9994543492794037,1.000283122062683,292.56
4,0.9954078674316407,0.9926633477210999,1.0019363462924957,1.0100427269935608,333.07
5,0.9944116473197937,0.9892114579677582,0.9997928142547607,1.0030832886695862,373.48
6,0.9949049949645996,0.9882082223892212,1.0057272017002106,1.0054816007614136,415.55
7,0.9927541971206665,0.9854348301887512,1.006466656923294,1.0055986046791077,459.97
8,0.9909763038158417,0.9828503787517547,1.000941812992096,1.005042016506195,504.64
9,0.9897034287452697,0.9827371895313263,1.009105622768402,1.0087756514549255,548.97
10,0.9909618377685547,0.9808888077735901,1.0194915533065796,1.0111440420150757,595.26
11,0.9844801485538482,0.9782414078712464,1.0163812637329102,1.0142198204994202,650.36
12,0.9877982020378113,0.977255129814148,1.0340858101844788,1.026300072669983,692.84
13,0.9880369126796722,0.9768559873104096,1.0140554904937744,1.0138669610023499,734.58
14,0.9847837865352631,0.9760550141334534,1.0228548049926758,1.024238646030426,775.52
15,0.9848278760910034,0.9723203420639038,1.0219449400901794,1.014567494392395,816.74
16,0.9781467199325562,0.963564795255661,1.036379337310791,1.021247684955597,859.08
17,0.9792986929416656,0.9514161765575408,1.0408800840377808,1.0239795446395874,901.61
18,0.9737806022167206,0.9330883622169495,1.0395146608352661,0.9980031847953796,943.57
19,0.9742900669574738,0.9206198692321778,1.0405594110488892,0.9910444617271423,986.51
20,0.9719280958175659,0.9007896423339844,1.066500186920166,1.0142460465431213,1028.47
21,0.9726489007472991,0.8969461441040039,1.0489797592163086,0.9695661962032318,1069.2
22,0.9760601758956909,0.8906952381134033,1.0610490441322327,0.9916037619113922,1114.4
23,0.9713357508182525,0.882310563325882,1.0753280520439148,1.0037522614002228,1158.22
24,0.9725746631622314,0.8791282474994659,1.0629834532737732,0.9625334441661835,1199.59
25,0.9698533773422241,0.886725264787674,1.0592563152313232,1.0117329359054565,1244.64
26,0.9609464764595032,0.875118637084961,1.076136291027069,1.0229952335357666,1286.98
27,0.9601137936115265,0.8747571468353271,1.0808899998664856,0.994714617729187,1331.27
28,0.9799679219722748,0.8715223729610443,1.0981700420379639,0.9970125257968903,1372.78
29,0.9650526404380798,0.8761107385158539,1.0470671653747559,1.0426310300827026,1413.46
30,0.9633475005626678,0.8731663525104523,1.0588138103485107,0.9792150855064392,1454.44
31,0.9588144779205322,0.8677661776542663,1.0814998745918274,1.0024126172065735,1500.5
32,0.9546413064002991,0.8637132942676544,1.0817367434501648,1.0243346095085144,1546.72
33,0.9560228705406189,0.8673888206481933,1.1100919842720032,0.9867404401302338,1607.73
34,0.94844571352005,0.8665644228458405,1.089286983013153,1.0030775964260101,1658.6
35,0.9458834946155548,0.8621548891067505,1.1082314252853394,0.9733932316303253,1701.82
36,0.9488595485687256,0.8541644275188446,1.0906577110290527,1.0440642833709717,1753.59
37,0.9434755563735961,0.8522938370704651,1.0880784392356873,1.005186915397644,1800.04
38,0.9343707740306855,0.8515713214874268,1.1191827058792114,1.0201996564865112,1843.22
39,0.9366678476333619,0.8431138932704926,1.1255687475204468,1.0085128247737885,1887.6
40,0.946130383014679,0.8479443728923798,1.1120257377624512,1.0193811655044556,1929.68
41,0.9354460418224335,0.84838707447052,1.122489869594574,1.0197600722312927,1975.38
42,0.9322905719280243,0.8466627180576325,1.1133835911750793,1.0135191977024078,2018.59
43,0.9398834347724915,0.8417974889278412,1.1051570177078247,1.032128930091858,2061.5
44,0.9408698797225952,0.8460856795310974,1.098123013973236,0.9951812028884888,2103.4
45,0.9383142650127411,0.8446512818336487,1.1369234323501587,0.9988026022911072,2145.02
46,0.9376487791538238,0.8397740244865417,1.0699674487113953,0.998041033744812,2189.44
47,0.9253806352615357,0.8337931394577026,1.1215436458587646,1.0369389057159424,2230.06
48,0.928976035118103,0.8349577426910401,1.0996511578559875,0.995889276266098,2270.37
49,0.9204902946949005,0.8351935863494873,1.1395323276519775,1.0084877014160156,2314.64
50,0.9362006306648254,0.8287691712379456,1.1529327034950256,1.0089419484138489,2361.88
