Epoch,Train_RMSE,Valid_RMSE,Test_RMSE,Train_MAE,Valid_MAE,Test_MAE,Train_Pearson,Valid_Pearson,Test_Pearson,Time
1,31.72706830772929,20.473275233320557,23.590896454094587,27.056204795837402,20.052961349487305,22.705171585083008,0.006778577797948748,0.007775933000307227,-0.03505581288927224,32.55
2,31.325534542604103,19.996030795100154,23.12080567959165,26.561245155334472,19.566495895385742,22.219316482543945,0.008365823935467236,0.02473183662777388,0.029701989837490252,66.83
3,30.8865093323968,19.48459427502918,22.62255171706778,26.063891220092774,19.044879913330078,21.703393936157227,0.023819617752193784,0.033531129873116725,0.044102805292595464,99.89
4,30.425062429321734,18.909865356805163,22.05981083115288,25.518028259277344,18.458478927612305,21.120038986206055,0.025445498719185545,0.04092632336732206,0.047135449630452464,130.33
5,29.92698043095634,18.26802239132205,21.430319781959188,24.89675064086914,17.804189682006836,20.467945098876953,0.026682198362234295,0.03672758421975565,0.045427702633959274,162.95
6,29.359104689997654,17.578471350754505,20.754046309874656,24.22416000366211,17.1018009185791,19.76743507385254,0.024326407981985317,0.032123093762834405,0.04385063849018429,193.08
7,28.75936551345193,16.826760296044718,20.018971409855048,23.492884826660156,16.337846755981445,19.007301330566406,0.02319379603293788,0.03136806337529364,0.04079615699107902,223.09
8,28.112055614957036,15.99056871921281,19.203048718318794,22.687750339508057,15.488576889038086,18.165103912353516,0.02360442400361226,0.028614360487133582,0.04109409415683732,253.47
9,27.376610946285826,15.079080280619737,18.316433324649427,21.81358880996704,14.563624382019043,17.250986099243164,0.023122009582314494,0.030630383314864666,0.04115809937936049,284.29
10,26.568144936717317,14.08311260584624,17.348618932278786,20.84770088195801,13.552033424377441,16.253612518310547,0.022682013052919364,0.0320011987945718,0.038072180258144676,316.18
11,25.7744190169086,12.937431003552431,16.234819569526422,19.76222324371338,12.386716842651367,15.104109764099121,0.023565231713470025,0.03277546044866142,0.0373898552921523,346.92
12,24.81237869809573,11.743570069969406,15.078929504120456,18.602363204956056,11.169295310974121,13.907144546508789,0.023532308135782894,0.03124203158445641,0.03840582187377758,377.32
13,23.821842121220175,10.487136954569928,13.864980017960267,17.367111587524413,9.881976127624512,12.644612312316895,0.023253424182578003,0.0324252053055474,0.037493662226630406,408.31
14,22.860295656950576,9.139509397065193,12.561794887511038,16.058212661743163,8.48970890045166,11.27975082397461,0.024019456360574516,0.03403837790255078,0.04108071187808958,438.4
15,21.83550834984705,7.818790924184715,11.277680653956166,14.711090183258056,7.103893280029297,9.923428535461426,0.02478050536266751,0.030378088348800802,0.04038200221407892,469.03
