Epoch,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,1.0878970861434936,1.238211989402771,0.4369320869445801,0.24793410301208496,6.21
2,1.0665036857128143,1.2232622623443603,0.43423789739608765,0.2623293697834015,12.92
3,1.0673221826553345,1.2158645391464233,0.4744710624217987,0.2903529703617096,18.96
4,1.0685285449028015,1.2159040331840516,0.431498259305954,0.38596442341804504,24.89
5,1.06633180975914,1.2063134789466858,0.49311426281929016,0.3945998251438141,30.58
6,1.054126101732254,1.203334128856659,0.45626577734947205,0.4450417757034302,35.81
7,1.0507140159606934,1.2038564205169677,0.45007675886154175,0.5255282521247864,40.43
8,1.0491102397441865,1.2030335426330567,0.4470558762550354,0.5587133169174194,46.87
9,1.0484662413597108,1.1823293924331666,0.4400552809238434,0.6943953037261963,52.36
10,1.0370072662830352,1.1591206550598145,0.44016033411026,0.7647799849510193,56.81
11,1.0329966485500335,1.1393535137176514,0.5063731074333191,0.6622154116630554,62.92
12,1.0155990362167358,1.116458785533905,0.48484355211257935,0.8006137609481812,68.79
13,1.0010624408721924,1.1117790579795837,0.4774876534938812,0.714215874671936,74.29
14,1.0050586104393004,1.1049095749855042,0.4859903156757355,0.6967115998268127,79.86
15,1.0028475284576417,1.1000355541706086,0.4748986065387726,0.8538123369216919,85.58
16,0.9938536524772644,1.0890521168708802,0.5041364431381226,0.49695518612861633,90.66
17,0.9938645899295807,1.0853507280349732,0.49994388222694397,0.8169023990631104,96.15
18,0.9868643701076507,1.078303372859955,0.46344539523124695,0.6688830852508545,101.68
19,0.9890954375267029,1.0778213560581207,0.4809401333332062,0.43538713455200195,107.45
20,1.015141224861145,1.0804063081741333,0.510853111743927,0.6798702478408813,113.34
21,0.9986503541469574,1.0753601789474487,0.4643482267856598,0.4994283616542816,118.74
22,0.9874074816703796,1.0792533695697784,0.4658495783805847,0.7646752595901489,123.07
23,0.9731151759624481,1.0731794238090515,0.4741665720939636,0.642768919467926,127.87
