Epoch,TruePositive,FalsePositive,TrueNegative,FalseNegative,Precision,Recall,Fscore,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,1071581,247471,0,0,0.8123872296164215,1.0,0.8964830653638597,0.6729202628135681,0.6485318005084991,0.5474192500114441,0.6366192698478699,29.7
2,1071581,247471,0,0,0.8123872296164215,1.0,0.8964830653638597,0.669796496629715,0.6581843316555023,0.5600245594978333,0.6366599202156067,70.61
3,1071581,247471,0,0,0.8123872296164215,1.0,0.8964830653638597,0.6652602791786194,0.652942568063736,0.5925496816635132,0.6320675015449524,101.47
4,1071581,247471,0,0,0.8123872296164215,1.0,0.8964830653638597,0.6689864456653595,0.6517389297485352,0.5691375136375427,0.625034511089325,131.6
5,1071581,247471,0,0,0.8123872296164215,1.0,0.8964830653638597,0.6661362409591675,0.651093602180481,0.5603640675544739,0.6381704807281494,161.33
