Epoch,TruePositiveNode,FalsePositiveNode,TrueNegativeNode,FalseNegativeNode,PrecisionNode,RecallNode,FscoreNode,TruePositiveNet,FalsePositiveNet,TrueNegativeNet,FalseNegativeNet,PrecisionNet,RecallNet,FscoreNet,NodeTrain,NetTrain,NodeValid,NetValid,Time
40,280160,179332,0,3,0.6097168177030285,0.9999892919479018,0.7575423677254937,210390,54980,46064,157454,0.7928175754606775,0.571954415458727,0.6645146822401274,0.6683628797531128,0.680028760433197,0.6675024628639221,0.6730852723121643,1277.09
41,280162,179332,0,1,0.609718516455057,0.9999964306493005,0.7575457272762915,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6692033290863038,0.6678957879543305,0.6684266924858093,0.6361541748046875,1308.17
42,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6708860337734223,0.6264269649982452,0.668623149394989,0.637664258480072,1339.71
43,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6703390955924988,0.6323726892471313,0.6685798168182373,0.6488709449768066,1370.53
44,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6690323770046234,0.6486444354057312,0.6689234375953674,0.6544846296310425,1401.5
45,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6684276103973389,0.6538451254367829,0.6687626242637634,0.657649040222168,1432.43
46,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367477,100923,121,367,0.7845367207514945,0.9990022944509085,0.8788750651723659,0.6677450120449067,0.6556111633777618,0.6685926914215088,0.6560238599777222,1463.69
47,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,366956,100732,312,888,0.7846170951574554,0.9975859331673209,0.878376890412336,0.6711236834526062,0.6534674406051636,0.6684150099754333,0.6579405069351196,1495.04
48,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6724625706672669,0.6541219353675842,0.6696261167526245,0.6582817435264587,1525.95
49,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367824,101025,19,20,0.7845255082126655,0.9999456291253901,0.8792328847020354,0.6691836714744568,0.6464082181453705,0.6689547896385193,0.6507987976074219,1557.35
50,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367286,100817,227,558,0.7846264604157632,0.9984830525983841,0.8787303501298528,0.6686450660228729,0.6443366467952728,0.6688713431358337,0.6501242518424988,1588.55
51,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367384,100907,137,460,0.7845207360380618,0.9987494698839725,0.8787671847249546,0.667476600408554,0.6405331492424011,0.6698983907699585,0.6471286416053772,1619.44
52,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367716,101018,26,128,0.7844875771759676,0.9996520264024967,0.8790955535526873,0.6670286059379578,0.6347055971622467,0.6700387001037598,0.6430820822715759,1651.27
53,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367822,101033,11,22,0.7845112028239007,0.9999401920379292,0.8792217989982061,0.6663747608661652,0.6337793946266175,0.6699575781822205,0.6457912921905518,1682.4
54,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367833,100978,66,11,0.7846082963070405,0.9999700960189646,0.879294332789501,0.6656034767627717,0.6367746710777282,0.6723949909210205,0.6475104689598083,1713.7
55,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367841,101044,0,3,0.7845015302259616,0.9999918443688085,0.8792356904087225,0.6704384744167328,0.6296923816204071,0.6692084074020386,0.6360048055648804,1743.97
56,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6705286264419555,0.6236561357975006,0.6684545278549194,0.6415610313415527,1775.64
57,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6676805913448334,0.634651529788971,0.6683803796768188,0.6538521647453308,1806.62
58,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101043,1,0,0.7845045821274635,1.0,0.8792407595750605,0.6679872155189515,0.6384547293186188,0.6682527661323547,0.6430490612983704,1837.95
59,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6697012186050415,0.6327420115470886,0.6721753478050232,0.6459494233131409,1869.23
