Epoch,Train_RMSE,Valid_RMSE,Test_RMSE,Train_MAE,Valid_MAE,Test_MAE,Train_Pearson,Valid_Pearson,Test_Pearson,Time
1,31.617966279094812,20.32728353249757,23.45256937424781,26.90485534667969,19.90465545654297,22.563119888305664,-0.0029810985292194015,0.02869814990632256,-0.0023085535481282907,35.05
2,31.179041802227953,19.857965042641343,22.991537112785515,26.420765686035157,19.42599868774414,22.085636138916016,0.013861262810194494,0.04993954264586592,0.026806389915358293,81.79
3,30.78651436185549,19.374825950579126,22.515061148387428,25.930143928527833,18.93317222595215,21.59206199645996,0.028226283932973918,0.04763766732358608,0.03483982228900611,115.82
4,30.360006165434722,18.85136257275875,22.000771942467225,25.42635440826416,18.398977279663086,21.059165954589844,0.031094820283816417,0.05369165831171607,0.06013236921158306,148.48
5,29.870395806789986,18.264340971495436,21.425977451813605,24.87017707824707,17.80077362060547,20.4641056060791,0.037472196958134744,0.04060120172789551,0.05600239750874147,187.46
6,29.332132690595667,17.587343936707637,20.763233055664237,24.232136726379395,17.11153793334961,19.77796173095703,0.0336266776089455,0.03628070081328776,0.05219821303303368,219.85
7,28.737607457780143,16.806840248850783,20.00063780721286,23.494211769104005,16.31873321533203,18.98983383178711,0.03294720487399507,0.03139145472755236,0.05082671815098983,251.11
8,28.07569609651221,15.915276325210709,19.130088777390956,22.645741176605224,15.414409637451172,18.09220314025879,0.03276947171629916,0.031537917547825735,0.052599842573010994,282.48
9,27.271066176719952,14.935229013102816,18.175742212643442,21.713613986968994,14.420762062072754,17.10964584350586,0.03419353688470583,0.031117873466968034,0.057287000198206164,313.45
10,26.386946618418392,13.8537170490168,17.12422835567617,20.674723052978514,13.32429313659668,16.0277042388916,0.03585701996646912,0.0315845131123907,0.05925489132146933,343.58
11,25.4694504193374,12.610872427931174,15.919855141292164,19.50346040725708,12.062533378601074,14.785993576049805,0.036978383891423064,0.03499641448677114,0.06308145932415196,374.32
12,24.518451577810488,11.22198116769606,14.578651999283437,18.185583972930907,10.64862060546875,13.398789405822754,0.038690862511938255,0.039956121264749574,0.0663518220496046,404.79
13,23.401420700113306,9.831006523750228,13.241426393134716,16.794038581848145,9.224894523620605,12.007941246032715,0.0411764274884584,0.040949582375285315,0.06661707785839165,434.94
14,22.297950510177962,8.395693138094256,11.86168687322826,15.39289903640747,7.742414951324463,10.562161445617676,0.04315091826315046,0.0424141908680017,0.07065520234189836,465.03
15,21.27456770747967,6.9127591903684475,10.421783492617383,13.916923427581787,6.185812473297119,9.040037155151367,0.04651315059763573,0.0485789464759227,0.07636948223219121,494.99
16,20.194591332551028,5.615424249507167,9.110988781529063,12.493861722946168,4.776778697967529,7.636588096618652,0.04910469674477584,0.054571581625677434,0.08364365590559032,525.43
17,19.250871475111705,4.622001913416098,7.959415728341639,11.16035475730896,3.6415958404541016,6.373753070831299,0.052810898180009426,0.0596582546073201,0.09753818252806681,555.22
18,18.444380657565777,4.152236262425816,7.068717717671229,10.110942316055297,3.0227179527282715,5.37712287902832,0.05611175531811942,0.06309659172529047,0.11206071585320201,585.08
19,17.84455365777921,4.310018959092219,6.508352341992521,9.277412033081054,3.0453250408172607,4.755434989929199,0.06130089825096019,0.07045415549255742,0.1331450264443002,614.02
20,17.257032895730333,4.797335624323905,6.342068153267777,8.805392098426818,3.486327648162842,4.5763068199157715,0.06362149725898177,0.07575938094387796,0.14309360374454233,644.68
21,17.024504536996798,5.573857061123993,6.419099156764522,8.692820239067078,4.285275936126709,4.669242858886719,0.06538390536225233,0.08316151710583067,0.15159727438584975,674.77
22,16.751742389069957,6.117891819187333,6.58333484633545,8.58225998878479,4.869326114654541,4.84935188293457,0.06854414574548932,0.0847108749657728,0.15896372707816747,704.14
23,16.67395548258546,6.648452991866498,6.797047299360663,8.649837636947632,5.453402042388916,5.085817337036133,0.07290544070309943,0.09850491634555598,0.16994873503795488,735.39
24,16.606813553740267,7.1043031144299595,7.0408720512407665,8.714902019500732,5.962518215179443,5.355510711669922,0.08112535351345715,0.1119364989312465,0.15361210873260167,766.09
25,16.600558758719075,7.524544544313977,7.276145619382757,8.863913249969482,6.42429780960083,5.606791973114014,0.08100997869098822,0.11047150237107105,0.15478851314123337,797.46
26,16.55592901049019,7.591322271391526,7.3207588181876515,8.87449016571045,6.498013496398926,5.652012825012207,0.08382270247250552,0.1157095258405998,0.16195211949314092,827.72
27,16.562247565882892,7.591476288413791,7.326282261398454,8.911641883850098,6.49986457824707,5.655135631561279,0.090340213379869,0.1257833842387714,0.18179669726267125,858.54
28,16.543489479057214,7.605045410662726,7.323865356057695,8.884555578231812,6.512449741363525,5.647165775299072,0.0902038628161051,0.12428637604626826,0.17258799566254202,889.79
29,16.555687236617786,7.964089620303416,7.540982491105011,8.95670289993286,6.909380912780762,5.885454177856445,0.09164408288707447,0.12690396511438834,0.18494021671715374,919.56
30,16.5289680391453,7.912182417970049,7.510215922374242,8.981974267959595,6.849734306335449,5.847772598266602,0.0979950326143043,0.1296415019603844,0.1661285471889271,949.82
31,16.523139588035416,7.916143085499255,7.525368574374001,8.947218036651611,6.854012966156006,5.858998775482178,0.10002483371440574,0.1334559537062497,0.16877542806663876,979.77
32,16.561185837917293,7.515492269569245,7.307669323719035,8.912095499038696,6.412166595458984,5.623015403747559,0.10244994714584868,0.13607936661173442,0.15336069736843677,1010.01
33,16.532003438181764,7.993634791136775,7.561551625710245,8.946205425262452,6.938482761383057,5.904454708099365,0.10826639296225746,0.13024403669160187,0.19283563532447895,1040.34
34,16.52322652190588,7.792720322246395,7.441059959544286,8.953667402267456,6.712352752685547,5.773773193359375,0.10729637446094693,0.12854566994890285,0.17647549654483802,1070.22
35,16.50498956318837,7.7565585042015615,7.476487752287662,8.891779279708862,6.6653008460998535,5.802362442016602,0.10811280703069599,0.1233115950245848,0.14193822951574359,1100.56
36,16.496253484141832,7.798040574278625,7.5153097931237065,8.89608678817749,6.706439018249512,5.842978000640869,0.11067322984649737,0.1198298457944372,0.14886567861041966,1131.62
37,16.515325180118428,7.581506222564432,7.402888440546946,8.891834735870361,6.468782901763916,5.7251811027526855,0.10846779130487597,0.11374726278663899,0.14559851477256855,1161.93
38,16.49866850133351,7.603000610688705,7.40880917142715,8.846113777160644,6.487830638885498,5.735298156738281,0.117505613369058,0.11430328338319265,0.17258282422744672,1192.11
