Epoch,TrainLoss,ValidLoss,Time
1,0.8579835004489357,1.0340332876319926,66.45709729194641
2,0.8405486054769322,1.0360438896528779,129.48870992660522
3,0.8227873021043124,1.0372143037705048,198.0837972164154
4,0.8180819942134601,1.0389607887303842,262.31657814979553
5,0.8185116340345114,1.0241716085650658,330.4431166648865
6,0.8142510955157322,1.0319699016414654,395.7777283191681
7,0.8186079138757144,1.017053763007811,464.29195761680603
8,0.8127649001263642,1.018626742935385,530.2099339962006
9,0.8134016414805879,1.01041093286594,601.0031926631927
10,0.8277372712739578,1.0145318519008633,669.4313638210297
11,0.8151115557637615,1.0189129545374316,740.3974940776825
12,0.808684017098222,1.0120951199199353,808.9852833747864
13,0.8115814370047314,1.014436013956673,877.2781045436859
14,0.8080307418067325,1.0238272702323408,947.8471603393555
15,0.8086132444134602,1.0201676116112344,1019.0604889392853
16,0.8160005628894397,1.0267452091649414,1090.7240381240845
17,0.8062183092942212,1.0267924062053235,1161.2086787223816
18,0.8118255369258303,1.0288518257079784,1232.2279584407806
19,0.8067446295386678,1.0143716992033767,1303.7313482761383
20,0.8095778776137752,1.028273839850901,1375.865977525711
21,0.8202395024537423,1.0174888767869015,1448.0738189220428
22,0.8081764554632492,1.0142499991040776,1520.1274998188019
23,0.8112184038914616,1.0184226671088035,1591.9969263076782
24,0.8136033452249812,1.0219553900046108,1665.3870587348938
25,0.809793452505952,1.0206225688178951,1735.3718428611755
26,0.814804027316655,1.0231460746844865,1802.3860092163086
27,0.8039438701312532,1.0227820946728174,1870.8705298900604
28,0.8063632204473173,1.040471829146562,1935.6904702186584
29,0.8085831926552387,1.0274567949682443,2006.3549184799194
30,0.8056087522009238,1.034803686034641,2072.0090794563293
31,0.8043937756226669,1.0216440088879257,2141.0355117321014
32,0.8065062122810759,1.017825690176965,2207.1311297416687
33,0.8046877204572641,1.0249400824979187,2274.733829021454
34,0.8518969964361337,1.028819903108468,2342.859449148178
35,0.808217535647637,1.0309805553825722,2410.168590068817
36,0.812935828181105,1.0331166856797434,2476.5027742385864
37,0.8054817044168493,1.0187602133868463,2540.7914595603943
38,0.8066603684742236,1.0312047110748699,2608.343806028366
39,0.8049581639487949,1.0243202941082936,2672.812707424164
40,0.8032799839931386,1.0228144074176286,2741.1616656780243
41,0.8038501530163599,1.02663505141247,2804.876776456833
42,0.8039409872665879,1.0291773229677705,2870.2886459827423
43,0.8041333655796733,1.0262444228221366,2935.8383071422577
44,0.8078283732132585,1.035940123779853,3002.102452516556
45,0.8077437483024889,1.02443519269794,3069.5659770965576
46,0.8075849103720096,1.0316119994509003,3141.2873709201813
47,0.8041292417402746,1.0230679105076887,3211.155138015747
48,0.8037015160541763,1.0236301960030296,3281.506052494049
49,0.8028625122724323,1.0376311748868527,3351.0188138484955
50,0.8172684226687222,1.0238738982496027,3421.0929806232452
51,0.8052862149439147,1.0239678982242,3491.213091135025
52,0.8029276994264033,1.042398956491505,3561.521150827408
53,0.8101999396241376,1.0224669523305576,3631.5958411693573
54,0.804144233065587,1.0413132211530836,3701.5523488521576
55,0.8041838083658968,1.0324648790548596,3773.9752717018127
56,0.8036886933227899,1.0241234349795605,3845.5315721035004
57,0.8042778739632508,1.0318438265740169,3918.2439959049225
58,0.8065668750064453,1.0244722124209102,3990.83881688118
59,0.8042065592456834,1.0236115037819964,4061.5063095092773
60,0.8068116189689811,1.0202109360107143,4132.1692481040955
61,0.8281641557928366,1.0288118812687783,4202.62904381752
62,0.8053247921959257,1.0379073667117382,4274.064501523972
63,0.8086600405164283,1.0277201710917687,4345.008965730667
64,0.8068122514638585,1.02517273641987,4416.722856998444
65,0.8066529925641832,1.0299985094469077,4488.909937620163
66,0.8017424567044131,1.0225649515659991,4561.930380344391
67,0.8128841031834367,1.0269593430357602,4633.340571165085
68,0.804673550122487,1.025492923819367,4705.2916264534
69,0.8029514554738157,1.0309507097461983,4775.784579753876
70,0.8039161270820402,1.038468712204139,4846.922357797623
71,0.8183691107267718,1.0290046385374612,4918.380338668823
72,0.8047137241893811,1.0222544607497743,4988.479963064194
73,0.8048521623565741,1.0293450496715493,5057.784903049469
74,1.0355491517775481,1.02893233165097,5128.2058799266815
75,1.1680253408665209,1.0504124966976087,5199.504343986511
76,0.802744625225204,1.0476315027903387,5270.4614379405975
77,0.8044320241307349,1.0616777145722032,5340.831185340881
78,0.8222378144135786,1.037618404416026,5411.677956819534
79,0.8127064014905706,1.0245299932146634,5482.853213310242
80,0.8279313583446654,1.026662458177548,5553.601424217224
81,0.8123860464527085,1.0418584972843608,5623.727992534637
82,0.8032530905660027,1.02737096197991,5694.902761459351
83,0.8039606229063203,1.0280626823153398,5765.667906999588
84,0.8245108741587736,1.0301139530389383,5836.266709089279
85,0.8061240273163027,1.0303666829935096,5905.88264131546
86,0.8013116087290405,1.051118157811998,5976.784332513809
87,0.8006299113952478,1.0381327247824061,6047.864259719849
88,0.8449215932793686,1.0284985173553516,6116.118242740631
89,0.8068752145800863,1.0310251674468112,6184.246679544449
90,0.8088991800579456,1.0306495610157393,6250.163501024246
91,0.8065366264764798,1.0324975600324386,6320.318714618683
92,0.8035159704615665,1.0466379355259903,6385.555863618851
93,0.8047655351903404,1.045293378868287,6453.208016395569
94,0.8230453295949991,1.0404965684600453,6517.1415848731995
95,0.8048181192324151,1.0324784601616324,6586.846019744873
96,0.8058351371546852,1.0395673692929144,6654.524806976318
97,0.8050722183479586,1.0332426727776358,6725.738428115845
98,0.8033146171030283,1.0280898843292,6796.707320213318
99,0.8042150524834188,1.0280671760455844,6867.815779209137
100,0.8230537388274821,1.0328939718704386,6938.388110399246
