Epoch,TruePositive,FalsePositive,TrueNegative,FalseNegative,Precision,Recall,Fscore,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6983871698379517,0.540343913435936,0.6696855425834656,0.524421215057373,47.45
2,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6847115993499756,0.4257092297077179,0.6751267313957214,0.5624694228172302,82.17
3,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6731347262859344,0.43735692352056504,0.6693645119667053,0.5554039478302002,116.63
4,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6716974079608917,0.4268206596374512,0.6693732142448425,0.5329009294509888,151.33
5,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6796380937099457,0.43044127225875856,0.6716605424880981,0.5243081450462341,185.85
6,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6686506032943725,0.4285916477441788,0.6685359477996826,0.5334609746932983,219.79
7,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6720311999320984,0.42768160402774813,0.6697413921356201,0.5359582901000977,255.16
8,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.67509246468544,0.42959660589694976,0.6695951819419861,0.5301192402839661,289.89
9,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6747118711471558,0.43081800639629364,0.6696838140487671,0.5384700894355774,324.36
10,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6694253623485565,0.42782898545265197,0.6686905026435852,0.5298950672149658,360.59
11,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6738749086856842,0.43093989193439486,0.6699877977371216,0.5276913642883301,396.35
12,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6691425979137421,0.4259981542825699,0.668704628944397,0.5399342179298401,432.23
13,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6716681003570557,0.42815755009651185,0.6696142554283142,0.536958634853363,468.06
14,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6742724239826202,0.42950440347194674,0.669773519039154,0.5284448266029358,502.7
15,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6691895306110383,0.42521990835666656,0.668784499168396,0.5345235466957092,537.28
16,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6683287262916565,0.4261854887008667,0.6688454747200012,0.5328227281570435,571.61
17,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6707684874534607,0.42714456617832186,0.6689774990081787,0.5324149131774902,606.58
18,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6722075879573822,0.4250825494527817,0.6712544560432434,0.5379450917243958,641.7
19,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6688633739948273,0.4257917284965515,0.6693180203437805,0.5388782620429993,676.53
20,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6696046829223633,0.42671679258346557,0.6692321300506592,0.5312031507492065,711.6
21,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6752039611339569,0.427867180109024,0.670247495174408,0.5277360677719116,746.26
22,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6672260880470275,0.4250448375940323,0.6685804724693298,0.5342382788658142,780.54
23,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6684849798679352,0.4253311544656754,0.6693543195724487,0.5380213856697083,815.06
24,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6698943495750427,0.4267768234014511,0.6691151857376099,0.5322662591934204,848.6
25,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6689753293991089,0.4256418704986572,0.6691630482673645,0.5298593044281006,883.25
26,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6695751965045929,0.42802768051624296,0.6693457365036011,0.5387987494468689,917.59
27,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6688275337219238,0.4255906879901886,0.6690636873245239,0.5291717052459717,952.66
28,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6694212198257447,0.4260802686214447,0.6687541007995605,0.5280511379241943,986.6
29,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6685474991798401,0.42698601484298704,0.6689727306365967,0.54426109790802,1020.85
30,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6694128572940826,0.4261783927679062,0.669339656829834,0.5414211750030518,1055.29
31,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6705012142658233,0.4247798383235931,0.6691612601280212,0.5238938927650452,1090.72
32,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6690091192722321,0.4283948361873627,0.6689921617507935,0.5315113663673401,1125.36
33,278154,178033,1299,2009,0.6097367965330007,0.9928291744448767,0.7554939906294561,0.6703297674655915,0.42528446316719054,0.6695635318756104,0.52801114320755,1159.85
34,278488,178302,1030,1675,0.6096630836927254,0.9940213375784811,0.7557822547706571,0.6694697499275207,0.426026314496994,0.6691129803657532,0.5292034149169922,1193.64
35,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6688450753688813,0.42543943226337433,0.6693644523620605,0.5353303551673889,1228.23
36,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6694766581058502,0.42684108912944796,0.6702799201011658,0.5306341052055359,1262.55
37,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6687360048294068,0.4265093743801117,0.6695616841316223,0.5379608869552612,1297.45
38,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6691665649414062,0.42846065759658813,0.6700991988182068,0.5437803864479065,1332.16
39,278018,177938,1394,2145,0.6097474317697321,0.9923437427497563,0.7553615651817165,0.6709169626235962,0.42492443323135376,0.6696402430534363,0.5254916548728943,1367.14
40,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6717268347740173,0.4279316872358322,0.6697092056274414,0.5330235958099365,1401.47
41,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6694904029369354,0.4254584819078445,0.669688880443573,0.5276511311531067,1436.84
42,279068,178609,723,1095,0.6097487966404255,0.9960915609841414,0.7564458419169467,0.6693870246410369,0.42502321600914,0.6696135997772217,0.5293241739273071,1471.5
