Epoch,Train_RMSE,Valid_RMSE,Test_RMSE,Train_MAE,Valid_MAE,Test_MAE,Train_Pearson,Valid_Pearson,Test_Pearson,Time
1,31.728622568783294,20.464585394556465,23.5819196333494,27.05845069885254,20.04417610168457,22.69692039489746,0.0028548338876257526,0.012996913702078724,0.012091289631615463,32.25
2,31.32133635143692,19.99588809659337,23.126536055403434,26.556550216674804,19.566696166992188,22.225858688354492,0.008622292604862514,0.04722909350933434,0.03515048260552493,67.23
3,30.889328619421203,19.484643611570675,22.625242790479067,26.067719078063966,19.045101165771484,21.70659637451172,0.01814880572943308,0.04907805976186494,0.03615186737943858,95.72
4,30.42440583174705,18.906403343902927,22.057474833827236,25.51803665161133,18.45506477355957,21.118427276611328,0.022471821102393943,0.049753522115397374,0.03493826783715892,122.2
5,29.92014380802947,18.249371243449733,21.41187126808799,24.88911190032959,17.78543472290039,20.45010757446289,0.016348694869005274,0.028628814838841728,0.023991936608893642,148.63
6,29.332914239606094,17.528643028369757,20.70505076538731,24.193422889709474,17.051740646362305,19.718477249145508,0.008695591568191429,0.014919224304233845,0.015477866007748954,175.57
7,28.70100221379337,16.727330595979367,19.921000287169473,23.422450447082518,16.237918853759766,18.908506393432617,0.006519475029922816,0.012927588723690549,0.01316616444670429,201.8
8,28.008777604972423,15.82451622390723,19.039141843033278,22.560723495483398,15.322124481201172,17.99959945678711,0.00748474385347604,0.011438089072654846,0.019482469765713543,228.42
9,27.207884610629904,14.8242815380752,18.063882847422107,21.607316303253175,14.308167457580566,16.995771408081055,0.008993552560792649,0.014603529714418854,0.0218717971488286,256.08
10,26.32424295030606,13.735167114885357,17.005503044281358,20.550186729431154,13.203742027282715,15.906723022460938,0.009945866308141024,0.01801643691429122,0.021194582284814807,285.59
11,25.463277456767656,12.484602943984454,15.791905437398933,19.36746826171875,11.93356704711914,14.655570983886719,0.011426473946751198,0.01859409064284177,0.020610996823446946,315.86
12,24.422125762218275,11.188461518125631,14.538516223449083,18.10839729309082,10.613733291625977,13.358762741088867,0.011792353377842894,0.018739730148763428,0.022683442391048192,343.99
13,23.359438068215447,9.832067332696006,13.22968217140704,16.775836849212645,9.22536849975586,11.997435569763184,0.012104633954401358,0.0190033222202642,0.021293840682160912,371.25
14,22.33878523294393,8.390440414927294,11.837594639561955,15.375837755203246,7.736095905303955,10.538393020629883,0.012558358473305498,0.021001662502428492,0.02534544588153463,404.19
15,21.26655479489422,7.017893672891026,10.501120371309643,13.955553150177002,6.293971061706543,9.125450134277344,0.014337988114613532,0.01808426095844134,0.028137623693652726,431.5
16,20.29022245914042,5.756559859394751,9.234729430856802,12.576700782775879,4.9274678230285645,7.766958713531494,0.016883107813942474,0.019773516339963857,0.032615845075591864,457.77
17,19.39965957067623,4.759576279509934,8.11917280897819,11.321663236618042,3.7946534156799316,6.542852878570557,0.021118210607430535,0.022077212576019543,0.03828661978043145,484.15
18,18.58485776980751,4.22893938227426,7.276975760623579,10.238224220275878,3.1299917697906494,5.596602439880371,0.02555962359385609,0.028870351873748805,0.04497753000969468,510.94
19,17.957469327577282,4.212548791619789,6.708311124334435,9.452835512161254,2.980804920196533,4.9610371589660645,0.03177462389837199,0.03423277508655909,0.05645742091856833,537.19
20,17.42560497093014,4.5626632452200795,6.4478531332588656,8.95985164642334,3.2588961124420166,4.68031120300293,0.03827318655228916,0.042418013460197024,0.07141743469359715,563.94
21,17.14499486060412,5.183444908552142,6.414922435883262,8.714776039123535,3.8722496032714844,4.659714698791504,0.04446630680139964,0.04840749888926865,0.07482045671992074,590.44
22,16.923826761306206,5.876013161163445,6.564407216813587,8.648468041419983,4.6029253005981445,4.834381103515625,0.04804435710322773,0.049561297999680134,0.08209931884549984,620.63
23,16.753581845501895,6.428974023958443,6.772287097286719,8.68506760597229,5.203063011169434,5.063233852386475,0.0510127155441395,0.05375866687708819,0.0847634394687706,660.0
24,16.678991964878378,6.877957072238008,6.979022063470092,8.727926063537598,5.69296407699585,5.286553859710693,0.05287622838267423,0.0494539324741346,0.0881943912331225,695.01
25,16.642367064220288,6.991144300671564,7.038314593313737,8.743735218048096,5.819596767425537,5.3502960205078125,0.05665353619222295,0.057682954765871076,0.08833871265227848,727.82
26,16.597354062176127,7.26702381737899,7.183320530336422,8.784822082519531,6.12249231338501,5.507418632507324,0.05539202220406834,0.05505908511099744,0.09359853976067854,759.68
27,16.616125023883463,7.6775753807309925,7.421857267659738,8.90500750541687,6.579113006591797,5.763403415679932,0.057236619207802056,0.06516801327266486,0.09585739572839487,790.97
28,16.592113774839298,7.8235863721917545,7.511801272378875,8.943640565872192,6.737752914428711,5.8549041748046875,0.05900884653667347,0.059131770181154626,0.09354133993910174,822.2
29,16.589992372167305,7.644112319656061,7.398712314226808,8.942081308364868,6.5426764488220215,5.738134860992432,0.06009714984950394,0.06475142589864719,0.09885792271709858,854.16
30,16.5762408337238,7.803594044867393,7.494354921030432,8.921962261199951,6.718812465667725,5.837901592254639,0.06091770093012126,0.06439603896603277,0.09890684723303539,886.67
31,16.57130816326651,7.881157783616181,7.544757553866848,8.96139211654663,6.807715892791748,5.893341541290283,0.06253207620862553,0.06999475167976132,0.09889439860656524,918.16
32,16.569489722213568,7.908925203203849,7.561324099081301,8.976236152648926,6.838522434234619,5.909138202667236,0.06443571450484549,0.07208876595921082,0.10058231067969928,948.89
33,16.57365202104525,7.996223512015004,7.6114143286432245,8.994063758850098,6.934977054595947,5.965588092803955,0.06522816005815005,0.07234414623947077,0.1056069505719891,983.71
34,16.58109457473006,7.826397063611995,7.506949955736981,8.981168842315673,6.748295783996582,5.852406024932861,0.0667213004426172,0.0746447781829615,0.10404264488699204,1014.9
35,16.576116401738656,7.765753946442641,7.467445419209114,8.962035608291625,6.682140350341797,5.811916828155518,0.06679752427946892,0.07494646214942641,0.10605154399756134,1046.49
36,16.572205500406547,7.952451306421553,7.582527061889532,8.970037698745728,6.888138294219971,5.934160232543945,0.06822458853877361,0.0761063286583319,0.10799938498618024,1077.72
37,16.566271635343785,7.917466722182986,7.55874313482872,8.989474630355835,6.85103178024292,5.911501884460449,0.06961105515261248,0.07718180682268556,0.10992130387020069,1109.02
38,16.58261602693842,8.071408576795887,7.658480074213103,9.018231678009034,7.021777153015137,6.014070987701416,0.06929801628487864,0.07941648950413582,0.10953822528318993,1140.33
39,16.580562269296408,7.878581852208754,7.535073730270027,9.000356769561767,6.810274600982666,5.885291576385498,0.07122742262510397,0.08162533900963526,0.11073125717542652,1170.96
40,16.565331581912304,7.811978986533128,7.492088213790776,8.956697273254395,6.736467361450195,5.838602066040039,0.0723884809583003,0.08220652823720347,0.11177972931113354,1201.2
41,16.56558936906288,7.8140191394111636,7.496515100195619,8.942297267913819,6.739511489868164,5.842008590698242,0.0729051552770108,0.0862134368348433,0.10952126505591715,1232.06
42,16.563462001285163,7.846969612429289,7.512312890894729,8.94952883720398,6.775397300720215,5.860431671142578,0.07349565877481223,0.08655193515370763,0.11415745184376884,1262.98
43,16.572542846734788,7.757283879428106,7.458064268007646,8.951658248901367,6.678175926208496,5.803898811340332,0.07419252366342918,0.08941665347812558,0.11429753848733694,1294.08
44,16.569262869260047,7.964350424582464,7.587268716470225,8.954041814804077,6.905943393707275,5.93960428237915,0.0739365553406998,0.09136199931517715,0.11559459645405036,1325.13
45,16.57628505322503,8.108515993460884,7.680506556812401,9.03521432876587,7.0673298835754395,6.042446613311768,0.0751718679362213,0.08678014448425703,0.11305769525819043,1356.39
46,16.56175840624896,7.979273650113677,7.596471228278977,9.011900663375854,6.923184394836426,5.9501752853393555,0.07578680822835673,0.09104366593345223,0.1161474878092107,1387.14
47,16.56781875140241,7.806052515297475,7.487233804546597,8.97052354812622,6.733354568481445,5.835075378417969,0.07653644299622557,0.08956750070945615,0.11568672380428993,1419.0
48,16.561967926115948,7.928279296913251,7.562137059101399,8.962488889694214,6.867396831512451,5.915193557739258,0.07666330375226824,0.09019491789709605,0.11708426298071191,1451.67
49,16.563400105903295,7.9752819142992575,7.594066220830407,8.983297491073609,6.920901775360107,5.949872970581055,0.07705081012663309,0.09401227830799974,0.11648641545837551,1482.85
50,16.568982162201678,7.805654471582529,7.485179499510521,8.9650887966156,6.7338948249816895,5.834922790527344,0.07721299683582393,0.0949972879522688,0.11845041927454954,1513.44
51,16.56052600541202,7.904398463873364,7.544082788492509,8.94687442779541,6.841054916381836,5.89626932144165,0.07742798816106351,0.09209026231706229,0.12030810781832318,1544.39
52,16.566300464985883,7.812514404283596,7.488360210036234,8.959261035919189,6.740788459777832,5.838954925537109,0.07797111956381872,0.08836008156946314,0.11695065652758521,1574.72
53,16.561698554459596,7.895923006727828,7.5435424776143645,8.952726364135742,6.832675457000732,5.893723011016846,0.0785107478957274,0.09609463863367806,0.11721881617504015,1605.76
54,16.568301469566087,8.042521008057054,7.63437314121319,9.010691785812378,6.994781970977783,5.994431018829346,0.07812709711827891,0.09139061975362417,0.11822382190208894,1636.83
55,16.560518138998685,8.024577058954426,7.623286320461174,9.019970655441284,6.975748062133789,5.981668949127197,0.07844203675967949,0.09358013887706224,0.11775743303873495,1668.13
56,16.56371705387988,7.825155277356871,7.496552501514212,8.986957359313966,6.755206108093262,5.8467230796813965,0.07870484207044795,0.09489575773160189,0.11831279281893553,1699.1
57,16.560157777246562,7.83817120222633,7.50517679208291,8.943168354034423,6.768620491027832,5.854227066040039,0.07905444199560936,0.09081839019429035,0.11706722416801246,1730.22
58,16.578828310272094,7.718380320727311,7.431194293019492,8.936935710906983,6.637337684631348,5.77575159072876,0.07908172460156912,0.09724352916846785,0.11827290982465628,1761.77
59,16.56522101165321,7.941566927251181,7.569730470563179,8.943757963180541,6.882922172546387,5.923834800720215,0.0796124430656049,0.09314646343782174,0.11934835950460525,1792.28
60,16.562915609651327,7.969655423056624,7.590776025958712,8.980270385742188,6.914697647094727,5.945798873901367,0.0785292081798012,0.09613914105345794,0.11618442059703807,1823.4
61,16.56401466209428,7.997710377155169,7.607254390807177,9.012399101257325,6.945484161376953,5.964086532592773,0.07918036720573127,0.0935129760999172,0.11777039284795426,1854.61
62,16.560656681769757,7.984881659331301,7.601450590934982,8.998120975494384,6.9325456619262695,5.957231044769287,0.07918450602998625,0.09506834605566736,0.11531946124311658,1885.9
63,16.5658317122689,7.787359206394927,7.475810141661566,8.975464057922363,6.713918685913086,5.822991847991943,0.07940730887036038,0.09966604824450834,0.11717846491164632,1917.74
64,16.558287831310974,7.827083312755426,7.503197560561264,8.942378187179566,6.7585930824279785,5.852562427520752,0.08054657515410191,0.0995889849876366,0.11558937034843389,1948.51
65,16.56151257144633,7.877238606359683,7.529344753009253,8.963834762573242,6.813794136047363,5.882400035858154,0.07998063975249844,0.09735967198064746,0.12070453059932286,1979.46
66,16.582837647868544,7.688544473792701,7.412328358507597,8.95106282234192,6.604140758514404,5.757241249084473,0.08037913161250472,0.09548029108610118,0.11862756235009948,2010.17
67,16.555674667413506,7.8403967266522185,7.515471205059735,8.923313999176026,6.772860527038574,5.863358974456787,0.08017783867607611,0.10104753058985147,0.11429423709614525,2040.88
68,16.56929636730371,8.050720599601725,7.648053199535155,8.998713636398316,7.006519317626953,6.006973743438721,0.08021301690173677,0.09975454562656133,0.11555536137408434,2071.73
69,16.579727311140918,7.768779766243633,7.475668539815519,8.986106443405152,6.694727420806885,5.822811603546143,0.07991372345954185,0.10510225882803555,0.1130903792591273,2103.0
70,16.56854746841173,7.890955912383597,7.542286996637587,8.986136674880981,6.82489013671875,5.891607761383057,0.0797375235564383,0.09538041077396912,0.1241332845606834,2133.74
71,16.564919118732703,7.982876571723692,7.606129292867971,8.996601724624634,6.931203365325928,5.965175151824951,0.07966613261763363,0.10065722936692445,0.12138628269169974,2164.55
72,16.56593269907208,7.859092267451156,7.550437449735813,8.969758796691895,6.791314601898193,5.898726940155029,0.08078961190797526,0.10977622611586653,0.11409853456199137,2196.0
73,16.55598193621612,7.752817195638895,7.517256910518639,8.957780075073241,6.65444803237915,5.8574538230896,0.08090737904858539,0.10403547569617456,0.1116942325090172,2226.88
74,16.553067509092426,7.670131011202084,7.470585681266401,8.92102084159851,6.561188697814941,5.807759761810303,0.0761935650741574,0.10985699528381151,0.11232433620207463,2258.29
75,16.554065373294282,7.859764013654723,7.539194309485706,8.948623657226562,6.79646635055542,5.889456748962402,0.08442422590204708,0.11346199303101975,0.12137812581729168,2289.0
76,16.55839319523878,7.78446826488439,7.502987584480671,8.953267240524292,6.712542533874512,5.8499040603637695,0.08326143643874293,0.11624462005912348,0.1207671000012234,2320.58
77,16.55117662978074,7.780209391308657,7.530655580227898,8.936807584762573,6.694317817687988,5.876700401306152,0.08369700818687945,0.11344657645295811,0.12050727787788099,2352.29
78,16.547216297696686,7.8392289343036685,7.585921659757535,8.958497476577758,6.746726989746094,5.929324150085449,0.08362951653774323,0.10631217299584741,0.11598441514371305,2383.66
79,16.559490946809944,8.008722318741668,7.676258085936421,9.011971426010131,6.94455623626709,6.027259826660156,0.0810383995463835,0.1173884473247771,0.1178712253018282,2414.75
80,16.545638850707075,7.8923323493191395,7.600753756840116,9.00414161682129,6.817590236663818,5.946763038635254,0.08650945217016212,0.11870031001685857,0.11874525685654504,2446.18
81,16.552142204562482,7.6629425070406825,7.460189957641934,8.956729936599732,6.555389404296875,5.793210029602051,0.0845373031373255,0.11358089084059936,0.1182413874019186,2477.25
82,16.542965902172867,7.664509455940107,7.451384847054674,8.902986669540406,6.5673956871032715,5.784774303436279,0.08406732920576405,0.11980481245890234,0.11619497218398733,2508.84
83,16.551861068868952,7.903495700841046,7.601804629446062,8.951419401168824,6.838026523590088,5.9477620124816895,0.08702720310495189,0.12251098033790897,0.11933836065080333,2539.77
84,16.55096298596971,7.895869621522263,7.612626839819732,8.999717378616333,6.803949356079102,5.948570728302002,0.08444903560760694,0.10945045663288405,0.10946161908303464,2571.39
85,16.5395731000688,7.903460949280805,7.600158499018628,8.97780270576477,6.83408784866333,5.945722579956055,0.08319532480874807,0.11749321979451374,0.12140197709049066,2601.48
86,16.541763844753106,7.86319344135647,7.5821816824012735,8.980277633666992,6.778446197509766,5.921047210693359,0.08803734820820253,0.11352708108894127,0.11629203636958055,2633.35
