Epoch,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,4.516841185092926,4.920819330215454,1.1009904146194458,1.3117212057113647,4.3
2,4.51473103761673,4.6317895412445065,1.445747971534729,1.209662914276123,8.1
3,4.335049939155579,4.507314562797546,1.353690505027771,1.3600378036499023,11.44
4,4.375332140922547,4.510537600517273,1.2484139204025269,1.6500389575958252,15.72
5,4.340614902973175,4.4396637916564945,1.3800822496414185,1.638419508934021,18.84
6,4.355638206005096,4.3993700504302975,1.5071167945861816,1.6045620441436768,22.07
7,4.317932045459747,4.338392519950867,1.3689836263656616,2.0094668865203857,25.25
8,4.30032616853714,4.292334818840027,1.38076651096344,1.9350634813308716,28.81
9,4.286693263053894,4.199170827865601,1.3077139854431152,2.189263105392456,33.01
10,4.264289557933807,4.110911726951599,1.3210999965667725,2.1173810958862305,36.55
11,4.259134209156036,4.076132845878601,1.3508734703063965,1.923182487487793,41.37
12,4.212655937671661,4.021769857406616,1.415324330329895,2.1346588134765625,44.54
13,4.266537833213806,4.033533501625061,1.5175390243530273,2.288106918334961,48.29
14,4.231471109390259,4.027698969841003,1.4516972303390503,2.6888604164123535,52.48
15,4.263161861896515,4.041515231132507,1.3713620901107788,1.8242396116256714,55.67
16,4.3079810500144955,4.02972104549408,1.5188721418380737,1.3373807668685913,59.12
17,4.206894409656525,4.012272810935974,1.4105632305145264,1.6466751098632812,62.23
18,4.203509902954101,4.00237078666687,1.4253944158554077,1.5686407089233398,66.72
19,4.14763640165329,3.9842568397521974,1.471051573753357,1.6190718412399292,69.89
20,4.162415754795075,3.978380036354065,1.4098753929138184,1.7847081422805786,73.62
21,4.1518599152565,3.996736240386963,1.3647305965423584,1.8680088520050049,78.02
22,4.111890423297882,3.968700671195984,1.4207308292388916,1.4737306833267212,81.22
23,4.1055286765098575,3.9763964653015136,1.3839396238327026,1.8453561067581177,84.89
24,4.094186305999756,3.9748987197875976,1.4627983570098877,1.603474497795105,88.17
25,4.08717976808548,3.992148184776306,1.5608789920806885,1.543249249458313,91.09
26,4.075762903690338,3.983246684074402,1.443393588066101,1.9084210395812988,94.01
27,4.058443129062653,3.9653234004974367,1.3833341598510742,1.6379739046096802,96.96
28,4.072386229038239,3.968361568450928,1.3921643495559692,1.7487331628799438,100.02
29,4.020285129547119,3.9747248888015747,1.3494940996170044,1.626645565032959,103.17
30,4.006381690502167,3.999837374687195,1.360072135925293,1.7304483652114868,107.27
31,4.025271308422089,3.970102858543396,1.4461028575897217,1.663886547088623,110.86
32,4.028568208217621,3.9758495330810546,1.3848987817764282,1.798761248588562,114.97
33,4.014392340183258,3.9879353761672975,1.4279993772506714,1.5404382944107056,118.03
34,3.9886630535125733,3.9641769409179686,1.372578740119934,1.6133666038513184,121.03
35,4.0643367052078245,3.9929285049438477,1.513677716255188,1.4959654808044434,124.0
36,4.01667343378067,3.966582012176514,1.3745514154434204,1.924028992652893,126.95
37,3.9708267569541933,3.9751515865325926,1.3341145515441895,1.6630903482437134,130.23
38,3.9489338755607606,3.9680365085601808,1.4159618616104126,1.5995348691940308,134.59
39,3.919499123096466,3.972277617454529,1.396973729133606,1.6546177864074707,137.74
40,3.911216938495636,3.9682360649108888,1.3957889080047607,1.6827503442764282,141.62
41,3.9216626644134522,3.954070711135864,1.3319621086120605,1.6529955863952637,144.59
42,3.8803656458854676,3.9679463148117065,1.385265588760376,1.8721739053726196,147.59
43,3.9021313905715944,3.9744612693786623,1.4353952407836914,1.5538665056228638,150.51
44,3.8960240364074705,3.958198571205139,1.3477511405944824,1.6559991836547852,154.84
45,3.891444718837738,3.954430675506592,1.3977813720703125,1.6962637901306152,158.94
46,3.9121581315994263,3.9519296407699587,1.4566010236740112,1.7186784744262695,162.67
47,3.8805757761001587,3.9549110174179076,1.4498143196105957,1.5833137035369873,166.06
48,3.858260381221771,3.9606301546096803,1.3665010929107666,1.7121868133544922,169.31
49,3.8531838178634645,3.971687984466553,1.3396899700164795,1.735900640487671,173.93
50,3.869362163543701,3.950136828422546,1.3389639854431152,1.7421613931655884,177.07
51,3.862516486644745,3.97378613948822,1.3092857599258423,1.8511199951171875,180.82
52,3.886749815940857,3.977600860595703,1.3923108577728271,1.4903337955474854,185.65
53,3.838788104057312,3.9516241550445557,1.3738852739334106,1.7661480903625488,188.68
54,3.839364743232727,3.987289571762085,1.297632098197937,1.6874114274978638,192.63
55,3.849728524684906,3.9416051626205446,1.3606858253479004,1.6236821413040161,196.97
56,3.849270057678223,3.9516814947128296,1.3982867002487183,1.6387591361999512,200.37
57,3.830996644496918,3.968778657913208,1.4318076372146606,1.7588828802108765,203.9
58,3.82956405878067,3.9428946495056154,1.3675925731658936,1.6414811611175537,207.33
59,3.837583029270172,3.9522145271301268,1.3731837272644043,1.6028214693069458,210.45
60,3.861440396308899,3.9525222063064573,1.370511770248413,1.5653663873672485,213.37
