Epoch,TruePositiveNode,FalsePositiveNode,TrueNegativeNode,FalseNegativeNode,PrecisionNode,RecallNode,FscoreNode,TruePositiveNet,FalsePositiveNet,TrueNegativeNet,FalseNegativeNet,PrecisionNet,RecallNet,FscoreNet,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,0,0,179332,280163,0,0.0,0,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.7099930047988892,0.5247252970933914,0.7428908348083496,0.5223528742790222,32.54
2,0,0,179332,280163,0,0.0,0,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.740983533859253,0.43885180354118347,0.7345477342605591,0.5653791427612305,62.43
3,0,0,179332,280163,0,0.0,0,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.726211678981781,0.43693037033081056,0.7174972891807556,0.5343416929244995,90.9
4,0,0,179332,280163,0,0.0,0,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.71504425406456,0.42772460281848906,0.7121215462684631,0.5390391945838928,119.34
5,0,0,179332,280163,0,0.0,0,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.7119202971458435,0.427722230553627,0.7104473114013672,0.5341842770576477,148.7
6,0,0,179332,280163,0,0.0,0,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.7112814426422119,0.4269007593393326,0.7103884220123291,0.5369053483009338,177.55
7,0,0,179332,280163,0,0.0,0,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.710541045665741,0.42924402058124544,0.7097360491752625,0.5276791453361511,206.51
8,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7117881059646607,0.4283115118741989,0.7118086218833923,0.5389989018440247,236.01
9,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7134974122047424,0.4270480215549469,0.7134493589401245,0.5313470363616943,266.1
10,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7150284707546234,0.42749674916267394,0.7148116827011108,0.5261685848236084,295.44
11,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7143911361694336,0.42778622806072236,0.7127075791358948,0.5378802418708801,324.31
12,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7129878342151642,0.42753892540931704,0.7123347520828247,0.529930591583252,353.73
13,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7135739982128143,0.425717431306839,0.713133692741394,0.532807469367981,382.37
14,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7143043756484986,0.4259358525276184,0.7142476439476013,0.5369694828987122,411.18
15,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7167706847190857,0.42622938454151155,0.7159947156906128,0.5307016372680664,441.08
16,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7162884473800659,0.4254974454641342,0.7156043648719788,0.5333437919616699,469.79
17,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7166753590106965,0.425372776389122,0.7173624038696289,0.5346971750259399,499.49
18,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7195172548294068,0.4259428560733795,0.7179393768310547,0.5320676565170288,528.52
19,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7225339949131012,0.4297961562871933,0.726638674736023,0.5275401473045349,557.74
20,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7326815724372864,0.4294415444135666,0.7416504621505737,0.5409549474716187,587.23
21,0,0,179332,280163,0,0.0,0,367844,101021,23,0,0.7845413925117039,1.0,0.8792638778834696,0.7504374742507934,0.42712494134902956,0.751156210899353,0.5273000001907349,616.65
22,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7440898358821869,0.42717098295688627,0.7362303733825684,0.531525731086731,645.12
23,311,95,179237,279852,0.7660098522167488,0.0011100680675178378,0.002216923466241816,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.734798151254654,0.42498832046985624,0.7323787808418274,0.5253312587738037,673.67
24,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7351833760738373,0.4261792302131653,0.7364280819892883,0.5397092700004578,702.72
25,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7350941956043243,0.4260196387767792,0.7219188809394836,0.5372941493988037,732.09
26,3572,1660,177672,276591,0.6827217125382263,0.01274972069830777,0.025031973230084617,367844,101021,23,0,0.7845413925117039,1.0,0.8792638778834696,0.712195736169815,0.42312054634094237,0.7042344212532043,0.5256851315498352,761.88
27,0,0,179332,280163,0,0.0,0,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.7086024105548858,0.4270440131425858,0.7200207710266113,0.5319265127182007,793.48
28,0,0,179332,280163,0,0.0,0,367844,101021,23,0,0.7845413925117039,1.0,0.8792638778834696,0.725477683544159,0.4235484957695007,0.734571635723114,0.528162956237793,822.84
