Epoch,Train_RMSE,Valid_RMSE,Test_RMSE,Train_MAE,Valid_MAE,Test_MAE,Train_Pearson,Valid_Pearson,Test_Pearson,Time
1,31.53968447491737,20.243340044619845,23.355482796554565,26.833505630493164,19.817827224731445,22.46234703063965,-0.008352416267789814,-0.05633544529805239,-0.04659383385125074,34.41
2,31.13146253542751,19.777690549127097,22.903270824341334,26.33270092010498,19.343591690063477,21.994508743286133,0.0022773355676080397,0.002001634151903088,0.029393480664777368,94.85
3,30.68728708476927,19.246982090189572,22.38666456272887,25.830319786071776,18.802560806274414,21.459606170654297,0.005902691124158752,0.022171822964910274,0.03228598144632663,132.04
4,30.21670924872968,18.63051282978494,21.78326608092422,25.254094505310057,18.173904418945312,20.834423065185547,0.0141002713475946,0.03166512841658535,0.027794623821105688,165.73
5,29.62455827729757,17.908565138566118,21.075128499246823,24.584271240234376,17.438289642333984,20.10060691833496,0.015131224607767366,0.03418775230609063,0.03158110676753697,197.97
6,28.996299191815652,17.08277934346915,20.264287735370196,23.791967582702636,16.598590850830078,19.26169776916504,0.01974954895249551,0.03575488346921091,0.03381545118608883,238.29
7,28.277041188031138,16.168589264638822,19.37092005933927,22.912504768371583,15.670384407043457,18.339366912841797,0.018592099467764127,0.03218288902446712,0.03855792892900331,273.62
8,27.441078567883405,15.165821317372453,18.39398499733082,21.948575496673584,14.653593063354492,17.333932876586914,0.019664907806567898,0.034460828764123014,0.036555997701009216,306.01
9,26.60855761094099,14.054953487269065,17.315093689680744,20.880735301971434,13.527534484863281,16.22431182861328,0.018922203385270665,0.029061543732720713,0.031547436183255194,338.78
10,25.66874356804993,12.876485498154366,16.173068532345773,19.73008213043213,12.331925392150879,15.04875659942627,0.01871758914701254,0.03052024044929518,0.034471447992605805,371.73
11,24.734713740869804,11.566325776484659,14.9047600023462,18.48329801559448,10.999794960021973,13.73909854888916,0.018700701015444306,0.02642613059632152,0.030430837150521188,402.09
12,23.6971769752061,10.209694492652597,13.595971778743822,17.140981674194336,9.61545467376709,12.381901741027832,0.017630760546415915,0.030517502530783898,0.030196421078011328,433.38
13,22.60646754870202,8.834745857974637,12.270270567307058,15.796921443939208,8.202399253845215,10.997912406921387,0.01891937535889206,0.030638929240509743,0.03436588270478633,463.76
14,21.575225666231816,7.459489388262024,10.938928129419512,14.415828943252563,6.770932674407959,9.595622062683105,0.020146410125254588,0.03066138062143462,0.03371733504127954,495.05
15,20.53259423440869,6.215439418440714,9.711474476681204,13.065957641601562,5.444079399108887,8.288875579833984,0.020097902464664377,0.02831135279943242,0.033557771179150334,526.2
16,19.67272004000929,5.082114568638682,8.518791967723796,11.812700891494751,4.185678958892822,6.993312835693359,0.020375198423800863,0.029811752417217566,0.036609951451614664,556.27
17,18.87253106750769,4.336255970849341,7.539773383744544,10.602227544784546,3.294949531555176,5.898270130157471,0.020563167755161087,0.03171441766391798,0.038387205414192355,588.45
18,18.13394417902617,4.128138648565747,6.898690483664584,9.7066246509552,2.9497268199920654,5.170324325561523,0.02050241164144383,0.03103545503382735,0.03414194191893637,619.84
19,17.6262155857647,4.370924004607348,6.51453359414308,9.14468355178833,3.0759382247924805,4.736817359924316,0.020945323708276852,0.03152514975524981,0.03577426346708855,651.23
20,17.211900991794682,4.863257914414396,6.3998085947025105,8.777781438827514,3.528794288635254,4.613783359527588,0.021747397729117532,0.030920712854006358,0.03634029800657356,682.06
21,16.95245540017282,5.467846953900529,6.466167137017698,8.64035472869873,4.153074741363525,4.694870471954346,0.02149210025979399,0.03185768824570841,0.03584952341832241,713.39
22,16.850093098731325,6.208236932539453,6.697572627113422,8.669917726516724,4.9515581130981445,4.952442169189453,0.02242846374207772,0.031201980494881945,0.03821728154091339,743.47
23,16.678028942258248,6.587411156766444,6.859261270679472,8.625980138778687,5.367870330810547,5.129513263702393,0.023295486422152283,0.03140017753124459,0.04250845597884571,773.28
24,16.64680347631352,6.983706994935661,7.054610445229102,8.744605493545532,5.806501865386963,5.341392517089844,0.024569842342387398,0.038582990407831655,0.04721070600387005,804.17
25,16.620087527378566,7.319996178631228,7.236674723902568,8.820805406570434,6.179008483886719,5.5375189781188965,0.02512180370056224,0.03555015163229408,0.04538117851426522,833.78
26,16.60849998659751,7.316990443591636,7.229023018618141,8.831674909591674,6.175825595855713,5.531482219696045,0.028291705536077426,0.034352405704369926,0.06107884501304139,864.0
27,16.606697873015136,7.353295149417257,7.2540164214001726,8.887739610671996,6.216225624084473,5.563939094543457,0.0346759491109566,0.045972788635950064,0.05651240236464435,895.61
28,16.621714733460625,7.733723684302826,7.468272940111912,8.925715732574464,6.6410603523254395,5.801058292388916,0.04856922704291265,0.05778100116481866,0.07092401037330884,935.63
29,16.58649278125405,7.698077360617313,7.441443159357283,8.930559968948364,6.6054277420043945,5.777049541473389,0.049501920551465316,0.06844064283850224,0.08373914752506292,968.03
30,16.573752016521528,7.8335870201209,7.5197085510753165,8.94078483581543,6.756772518157959,5.860542297363281,0.06198326633465635,0.07618732782227385,0.09832130031317357,1002.48
31,16.58091251333232,7.70102500533614,7.4337674560136655,8.936344385147095,6.614171504974365,5.774769306182861,0.06825703172094974,0.08832924982133517,0.10334064693316099,1034.46
32,16.567619609225435,7.927072238454853,7.569578530837862,8.95074691772461,6.865096092224121,5.923861980438232,0.06975030479615094,0.08499821646918693,0.10580012024907903,1064.89
33,16.59027663264114,8.159654162688973,7.719878203068675,9.056383800506591,7.1216912269592285,6.082899570465088,0.07091237454723036,0.08707434404822423,0.10747650051918975,1095.1
34,16.56538475393489,8.064944347702777,7.659525268026927,9.039949655532837,7.017565727233887,6.018410682678223,0.07156931719227921,0.08384615784309303,0.10531840255353671,1125.54
35,16.563982753959323,7.9165259365489815,7.564345457776889,9.008022117614747,6.855978965759277,5.9185471534729,0.0726424990845049,0.09365822274364058,0.1069454566514017,1156.38
36,16.565989000876115,7.842372089348539,7.515420700754294,8.964018058776855,6.77139949798584,5.864334583282471,0.07286082963935073,0.08690732572346782,0.1089730824256889,1186.27
37,16.56797141624059,7.883485854154016,7.5405112658324756,8.981755924224853,6.818263530731201,5.893796443939209,0.0724648494768975,0.08880746062104211,0.11204160617992423,1216.86
38,16.563782989904375,7.803908361697582,7.492628416705336,8.956958055496216,6.731027126312256,5.842261791229248,0.07306453017478001,0.08962621752209671,0.10959662992644767,1247.4
