Epoch,NodeTrain,NetTrain,NodeValid,NetValid,Time
26,0.9971850275993347,1.0818965077400207,0.5074722766876221,0.7993757724761963,270.81
27,0.9862137019634247,1.0772541046142579,0.5006278157234192,0.5248728394508362,280.93
28,0.9799930334091187,1.0768961191177369,0.5061873197555542,0.6248863935470581,291.02
29,0.9827428460121155,1.0758042514324189,0.48815375566482544,0.4380708634853363,301.45
30,0.9837748408317566,1.0779376327991486,0.5672659277915955,0.7231213450431824,311.86
31,0.9731417894363403,1.0746956765651703,0.5115781426429749,0.5116105079650879,322.35
32,0.9581769943237305,1.074502456188202,0.5139789581298828,0.5851128697395325,333.04
33,0.9506212413311005,1.0726506590843201,0.5168275237083435,0.5590571165084839,343.26
34,0.9483951210975647,1.073294597864151,0.48342326283454895,0.8331692814826965,353.9
35,1.0102118134498597,1.0797181606292725,0.5507860779762268,1.0533891916275024,364.34
36,0.9825344383716583,1.0814070999622345,0.49339425563812256,0.4658944010734558,374.78
37,0.9666300356388092,1.0790979087352752,0.5018979907035828,0.6105084419250488,385.06
38,0.9627455294132232,1.076261568069458,0.4818941652774811,0.5012208819389343,395.38
39,0.9464138686656952,1.0740841150283813,0.5157132744789124,0.5377566814422607,405.49
40,0.9424969553947449,1.0724625170230866,0.4893975257873535,0.5675193071365356,415.75
41,0.936690628528595,1.0732107520103455,0.5255433320999146,0.4552837312221527,426.31
42,0.9366409659385682,1.070820051431656,0.49778249859809875,0.5382425785064697,436.74
43,0.9256559908390045,1.0722793936729431,0.47462233901023865,0.5987013578414917,447.16
44,0.9222064793109894,1.0695233702659608,0.5103024840354919,0.48973676562309265,457.32
45,0.919765704870224,1.0704623281955719,0.48896321654319763,0.5352799296379089,467.82
46,0.9170195579528808,1.0709673583507537,0.48548510670661926,0.5930988788604736,478.24
47,0.9163103580474854,1.0763689815998077,0.5501879453659058,0.5009947419166565,488.57
48,0.911031985282898,1.0710131049156189,0.4810198247432709,0.5458992123603821,498.55
49,0.9165861189365387,1.0718922793865204,0.524289608001709,0.5655494928359985,509.21
50,0.9172394216060639,1.0680861830711366,0.5171494483947754,0.4965422451496124,519.8
51,0.9221205830574035,1.0734582901000977,0.511991560459137,0.5521332025527954,530.02
52,0.9154279172420502,1.0707250535488129,0.4779902398586273,0.5477766990661621,540.1
53,0.9170109391212463,1.0695845901966095,0.495069682598114,0.5199615955352783,550.47
54,0.9142386257648468,1.0678839921951293,0.47030162811279297,0.4993395209312439,560.39
55,0.9073970079421997,1.068658185005188,0.539749801158905,0.6970453858375549,570.73
56,0.9071421563625336,1.0676719963550567,0.49678584933280945,0.4850514829158783,580.89
57,0.9062410593032837,1.0699486911296845,0.5379863977432251,0.4693232476711273,591.15
58,0.9063126742839813,1.0691268920898438,0.4879959225654602,0.6980608701705933,601.29
59,0.9012319624423981,1.0673160195350646,0.5274180173873901,0.5046424865722656,611.48
60,0.9020668983459472,1.068510603904724,0.42875418066978455,0.5347110629081726,621.82
61,0.9122855603694916,1.0680687069892882,0.5981124043464661,0.7498162984848022,631.86
