Epoch,Train_Loss,Valid_Loss,Time
1,62102321.84140625,17561842.0,2.02
2,9369728.91875,12964504.0,3.75
3,14359980.2,32227.650390625,5.48
4,13563082.5453125,9818474.0,7.21
5,3613484.890625,21641.994140625,8.92
6,1918261.498828125,1752267.0,10.65
7,1466651.775,368118.71875,12.45
8,144057.121484375,19310.1875,14.29
9,222595.36484375,100418.640625,16.13
10,113228.974609375,31356.283203125,18.09
11,39103.4142578125,6268.9072265625,19.98
12,44157.65185546875,18283.15234375,21.8
13,30749.19150390625,8554.224609375,23.66
14,23708.03449707031,4531.79248046875,25.5
15,24140.60439453125,5625.15673828125,27.39
16,22103.941552734374,4407.78857421875,29.21
17,21127.075561523438,4604.92431640625,31.08
18,20529.408740234376,4721.6494140625,32.93
19,20087.035864257814,4289.17822265625,34.75
20,19966.362548828125,4179.5048828125,36.57
21,19768.693432617187,4145.28173828125,38.39
22,19501.43977050781,4167.58544921875,40.21
23,19221.086352539063,4168.2421875,42.03
24,18998.00065917969,4094.4658203125,43.84
25,18813.63583984375,4033.93505859375,45.67
26,18614.6162109375,4003.90771484375,47.49
27,18390.231689453125,3986.351318359375,49.3
28,18160.40998535156,3957.581787109375,51.12
29,17944.990283203126,3915.705810546875,52.94
30,17736.621911621092,3875.59228515625,54.76
31,17521.225476074218,3842.297119140625,56.57
32,17298.945910644532,3811.690673828125,58.38
33,17078.242272949217,3778.12841796875,60.2
34,16861.26921386719,3741.34375,62.01
35,16644.2353515625,3706.313720703125,63.82
36,16425.640063476563,3674.02490234375,65.64
37,16207.239807128906,3641.3203125,67.46
38,15983.629357910157,3606.510986328125,69.27
39,15770.717126464844,3572.72802734375,71.09
40,39730.8091796875,3589.337646484375,72.91
41,20181.022839355468,3675.2060546875,74.73
42,15732.675817871093,3542.063720703125,76.54
43,15570.5419921875,3517.402099609375,78.36
44,14865.47852783203,3644.613525390625,80.18
45,14745.584521484376,3607.011962890625,82.0
46,14502.365563964844,3423.958251953125,83.82
47,14321.092016601562,3388.84423828125,85.63
48,14020.114233398437,3436.41650390625,87.45
49,13807.20362548828,3441.510986328125,89.26
50,13633.095141601563,3326.6650390625,91.08
51,13469.959497070313,3281.18603515625,92.9
52,13241.771118164062,3291.55810546875,94.71
53,13019.674743652344,3286.611083984375,96.53
54,12837.625598144532,3220.46826171875,98.35
55,12664.867858886719,3178.859619140625,100.17
56,12462.101281738282,3171.132080078125,101.98
57,12256.387170410157,3154.77392578125,103.79
58,12072.968017578125,3109.567138671875,105.61
59,11895.683837890625,3075.118408203125,107.43
60,11704.457055664063,3058.8662109375,109.25
61,11512.91993408203,3036.46484375,111.07
62,11333.811303710938,3000.77294921875,112.89
63,11157.32950439453,2971.8359375,114.71
64,10974.390075683594,2952.00244140625,116.52
65,10793.418762207031,2927.15576171875,118.34
66,10619.735290527344,2896.40234375,120.16
67,10447.063220214844,2870.646484375,121.98
68,10271.972729492187,2848.959716796875,123.8
69,10099.849304199219,2823.458984375,125.62
70,9932.25703125,2796.00146484375,127.44
71,9765.252392578124,2772.87890625,129.25
72,9598.6626953125,2752.329345703125,131.07
73,9435.762084960938,2728.961669921875,132.89
74,9275.074536132812,2705.012939453125,134.7
75,9115.35146484375,2683.667724609375,136.51
76,8956.001647949219,2662.307861328125,138.33
77,8800.281506347656,2639.607421875,140.15
78,8646.095446777344,2617.364501953125,141.96
79,8493.282104492188,2596.8310546875,143.78
80,8341.9009765625,2575.668701171875,145.6
81,8193.303649902344,2554.1171875,147.41
82,8046.1304931640625,2533.3916015625,149.23
83,7900.6146484375,2513.536865234375,151.04
84,7756.95087890625,2492.978271484375,152.86
85,7615.501440429687,2472.764892578125,154.67
86,7475.124194335937,2453.240234375,156.5
87,7336.431896972656,2433.867431640625,158.32
88,7192.8263488769535,2410.980712890625,160.13
89,6963.291705322265,2257.805908203125,161.95
90,6655.625054931641,2011.043212890625,163.76
91,6506.075036621094,1828.1417236328125,165.58
92,6278.59008178711,1905.0604248046875,167.39
93,6225.416876220703,1727.692138671875,169.21
94,6361.4347473144535,1705.5216064453125,171.03
95,6019.589349365235,2178.6650390625,172.84
96,6065.522119140625,2032.3851318359375,174.66
97,6046.356140136719,2764.35791015625,176.47
98,7251.661682128906,1668.2327880859375,178.29
99,9218.790411376953,1915.2384033203125,180.11
100,8444.423962402343,6058.2333984375,181.92
101,7869.849194335938,8467.68359375,183.74
102,11441.87470703125,4363.72314453125,185.56
103,19720.366015625,2107.978271484375,187.37
104,14820.634106445312,10138.9130859375,189.19
105,9639.254858398437,6064.88134765625,191.0
106,13969.965307617187,6532.42529296875,192.82
107,11267.156134033203,7651.701171875,194.63
108,12175.089697265625,2067.939697265625,196.45
109,10885.035321044921,9160.4052734375,198.26
110,9952.417065429687,2807.71923828125,200.08
111,10577.123364257812,3638.1552734375,201.89
112,8959.836840820313,6331.1494140625,203.71
113,8188.9400634765625,2184.357666015625,205.52
114,8757.114379882812,4326.365234375,207.33
115,7552.425830078125,3067.4736328125,209.14
116,6914.141198730469,3587.013427734375,210.97
117,7187.709698486328,3202.218994140625,212.84
118,6501.875830078125,1914.2099609375,214.65
119,6048.7793640136715,4154.88525390625,216.47
120,5870.47060546875,2090.17236328125,218.29
121,5779.090307617187,2032.36279296875,220.1
122,5333.594470214844,3603.318359375,221.92
123,4962.079321289062,1814.2384033203125,223.75
124,5210.40092163086,2244.6318359375,225.57
125,4742.011462402344,2741.25048828125,227.39
126,4396.802294921875,2069.486328125,229.21
127,4683.427032470703,2186.325439453125,231.03
128,4281.877600097656,2113.917236328125,232.84
129,4015.7306579589845,2382.084716796875,234.66
130,4187.035192871093,1976.948974609375,236.54
