Epoch,Train_Loss,Valid_Loss,Time
1,31828782.15,352123.46875,3.71
2,2982023.9,2333351.75,6.83
3,11481199.375,1570955.125,9.94
4,1277425.9125,305011.09375,13.06
5,756495.88203125,197959.8125,16.18
6,384179.190625,239875.265625,19.31
7,229829.79609375,75606.703125,22.45
8,80611.89921875,122639.734375,25.61
9,96538.17265625,124356.4453125,28.72
10,64643.5380859375,72119.890625,31.9
11,46370.09609375,60003.80078125,35.03
12,49814.9087890625,57069.84765625,38.15
13,37108.98564453125,55112.97265625,41.27
14,33913.9814453125,54895.70703125,44.39
15,31377.65751953125,47334.88671875,47.54
16,27117.809375,41524.8046875,50.67
17,25001.042578125,37671.859375,53.8
18,21780.30615234375,34295.07421875,56.93
19,19309.3294921875,31369.79296875,60.05
20,17220.0828125,27724.361328125,63.2
21,15225.7677734375,24562.65234375,66.32
22,13509.07314453125,21924.7578125,69.43
23,11820.733544921875,19686.302734375,72.54
24,10475.303173828124,17537.181640625,75.64
25,9186.769873046875,15435.619140625,78.75
26,11131.610595703125,13727.0693359375,81.86
27,17185.41945800781,12156.388671875,85.0
28,3434.1559814453126,9920.8408203125,88.27
29,2654.5478393554686,8549.19921875,91.38
30,2405.7809509277345,7602.10498046875,94.5
31,2290.5754516601564,7035.77294921875,97.67
32,2060.4775634765624,6784.685546875,100.84
33,1933.818292236328,6568.935546875,103.99
34,1865.6204528808594,6316.21533203125,107.11
35,1810.2759887695313,6067.92236328125,110.24
36,1755.7934326171876,5841.4521484375,113.4
37,1703.7361938476563,5631.15869140625,116.6
38,1655.0693359375,5434.68359375,119.76
39,1608.7028198242188,5256.49365234375,122.99
40,1566.845556640625,5088.990234375,126.2
41,1530.989013671875,4924.3076171875,129.36
42,1498.8315734863281,4765.46923828125,132.51
43,1468.794744873047,4619.708984375,135.67
44,1440.1390075683594,4486.21630859375,138.83
45,1413.8192626953125,4359.56640625,141.98
46,1389.511865234375,4240.29638671875,145.14
47,1366.9824951171875,4128.72314453125,148.29
48,1345.927978515625,4023.278564453125,151.43
49,1326.585467529297,3922.03466796875,154.59
50,1308.4674133300782,3825.61328125,157.74
51,1290.9289001464845,3735.554931640625,160.9
52,1274.1433471679688,3650.047607421875,164.07
53,1258.7859130859374,3566.439453125,167.22
54,1244.0068786621093,3486.98974609375,170.38
55,1229.3188781738281,3413.3310546875,173.55
56,1215.1321350097655,3343.439453125,176.72
57,1201.643975830078,3275.70751953125,179.87
58,1188.8410766601562,3209.735595703125,183.03
59,1176.9044494628906,3144.72900390625,186.18
60,1165.4386291503906,3081.556640625,189.33
61,1154.1015563964843,3022.05224609375,192.48
62,1142.8027893066405,2966.6025390625,195.64
63,1131.4498046875,2914.454833984375,198.8
64,1120.2182312011719,2864.4345703125,201.95
65,1108.9341186523438,2816.278076171875,205.11
66,1097.7187866210938,2768.944580078125,208.27
67,1086.7515686035156,2721.76953125,211.43
68,1075.8264465332031,2675.5703125,214.59
69,1064.821044921875,2630.314453125,217.75
70,1053.9063598632813,2585.321533203125,220.88
71,1042.9715454101563,2540.9873046875,224.03
72,1031.9636352539062,2497.7255859375,227.16
73,1020.9231140136719,2455.376953125,230.3
74,1009.9586791992188,2413.514404296875,233.45
75,999.0021179199218,2372.505615234375,236.6
76,988.0641357421875,2332.22216796875,239.74
77,977.3444763183594,2291.897705078125,242.89
78,966.6558288574219,2251.868408203125,246.04
79,955.9701873779297,2212.53662109375,249.18
80,945.4418365478516,2173.446533203125,252.34
81,935.0154022216797,2134.755615234375,255.5
82,924.6214233398438,2096.63623046875,258.66
83,914.2824157714844,2058.818359375,261.8
84,904.0355194091796,2021.15283203125,264.94
85,893.7593780517578,1983.9854736328125,268.11
86,883.4156005859375,1946.93212890625,271.27
87,872.9935943603516,1909.1029052734375,274.43
88,862.5450500488281,1870.971435546875,277.58
89,851.9627044677734,1833.2626953125,280.72
90,841.5788543701171,1795.5457763671875,283.87
91,831.2113464355468,1757.8978271484375,287.02
92,820.9264953613281,1721.2310791015625,290.16
93,810.6243438720703,1685.1109619140625,293.31
94,800.381884765625,1649.0819091796875,296.46
95,790.1615478515625,1614.0091552734375,299.6
96,780.0947998046875,1579.888916015625,302.77
97,770.1634826660156,1546.303955078125,305.93
98,760.3566375732422,1513.9033203125,309.09
99,750.7144744873046,1482.2001953125,312.25
100,741.2823028564453,1450.368896484375,315.41
101,731.8716247558593,1419.3431396484375,318.56
102,722.5916473388672,1388.8857421875,321.72
103,713.4022186279296,1358.032958984375,324.87
104,704.2148071289063,1328.03955078125,328.02
105,695.1072723388672,1298.9227294921875,331.16
106,686.1557189941407,1269.32666015625,334.33
107,677.1914581298828,1240.9129638671875,337.49
108,668.3348510742187,1212.9075927734375,340.66
109,659.5994445800782,1183.6658935546875,343.82
110,650.9027374267578,1155.3817138671875,346.99
111,642.5469268798828,1127.3970947265625,350.15
112,634.3020202636719,1097.8740234375,353.3
113,626.0357147216797,1069.7335205078125,356.46
114,618.1113464355469,1041.636962890625,359.61
115,610.0498168945312,1011.3348388671875,362.76
116,601.9903747558594,983.1719970703125,365.92
117,594.3402404785156,955.0177612304688,369.06
118,586.0867523193359,924.8005981445312,372.21
