Epoch,TruePositive,FalsePositive,TrueNegative,FalseNegative,Precision,Recall,Fscore,NodeTrain,NetTrain,NodeValid,NetValid,Time
32,259716,167526,11806,20447,0.6078896737680284,0.9270174862490764,0.7342781009464168,0.660709697008133,0.4177060157060623,0.6797941327095032,0.5239699482917786,1122.45
33,259855,169154,10178,20308,0.6057099035218375,0.927513625996295,0.7328405520804545,0.660903936624527,0.4143183797597885,0.6825709939002991,0.524239182472229,1156.97
34,273130,173970,5362,7033,0.6108924178036234,0.9748967565310195,0.7511175461971804,0.6598860085010528,0.40982580184936523,0.6792646050453186,0.512941300868988,1191.96
35,251914,163355,15977,28249,0.6066284745550474,0.8991694120922463,0.7244820485683718,0.6542830169200897,0.40784328281879423,0.6784274578094482,0.5065651535987854,1228.42
36,258941,168299,11033,21222,0.6060785506975003,0.9242512394570304,0.7320890638009734,0.656169205904007,0.40682982802391054,0.680589497089386,0.5138123035430908,1264.21
37,261625,169775,9557,18538,0.606455725544738,0.9338313767342583,0.7353530186364383,0.6582565546035767,0.4057355374097824,0.6833202838897705,0.5116497874259949,1299.02
38,231457,151206,28126,48706,0.604858583139734,0.8261512048343286,0.6983944504289211,0.6570274710655213,0.4044321969151497,0.6871914863586426,0.5152404308319092,1333.59
39,260181,167712,11620,19982,0.6080515455966795,0.928677234324304,0.7349164472866554,0.6611022174358367,0.4065648317337036,0.6781640648841858,0.5081141591072083,1368.11
40,253413,165597,13735,26750,0.6047898618171405,0.9045198687906683,0.724893552811679,0.65086270570755,0.40210803747177126,0.6822654604911804,0.5166544914245605,1402.44
41,258283,167895,11437,21880,0.606044892040415,0.9219026066968158,0.7313266538400007,0.6556499600410461,0.4048893228173256,0.6902292370796204,0.5206446647644043,1436.83
42,221983,144913,34419,58180,0.6050297632026514,0.7923351763080778,0.6861290856011585,0.657321161031723,0.40501484274864197,0.6838278770446777,0.5130732655525208,1471.44
43,269347,172803,6529,10816,0.6091756191337782,0.9613939028351353,0.7457902599011785,0.6598243772983551,0.4028175726532936,0.6830872893333435,0.5098216533660889,1506.31
